week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,weekly_views
2023-05-07,films (english),4,wrong place,,9690000,
2023-05-07,films (english),5,the dilemma,,6830000,
2023-05-07,films (english),6,the croods,,6560000,
2023-05-07,films (english),7,the tournament,,6520000,
2023-05-07,films (english),8,a tourists guide to love,,6200000,
2023-05-07,films (english),9,a quiet place part ii,,5750000,
2023-05-07,films (english),10,the father,,5070000,
2023-05-07,films (non-english),1,aka,,49320000,
2023-05-07,films (non-english),2,tu jhoothi main makkaar,,11350000,
2023-05-07,films (non-english),3,hunger,,5580000,
2023-05-07,films (non-english),4,kiss kiss,,4840000,
2023-05-07,films (non-english),5,the point men,,2460000,
2023-05-07,films (non-english),6,black crab,,2180000,
2023-05-07,films (non-english),7,chokehold,,2110000,
2023-05-07,films (non-english),8,queens on the run,,1910000,
2023-05-07,films (non-english),9,kill boksoon,,1880000,
2023-05-07,films (non-english),10,shehzada,,1600000,
2023-05-07,tv (english),1,queen charlotte a bridgerton story,,148280000,
2023-05-07,tv (english),2,sweet tooth,Sweet Tooth: Season 2,60470000,
2023-05-07,tv (english),3,firefly lane,Firefly Lane: Season 2,54320000,
2023-05-07,tv (english),4,the diplomat,The Diplomat: Season 1,31150000,
2023-05-07,tv (english),5,the night agent,The Night Agent: Season 1,26880000,
2023-05-07,tv (english),6,sweet tooth,Sweet Tooth: Season 1,25180000,
2023-05-07,tv (english),7,firefly lane,Firefly Lane: Season 1,16500000,
2023-05-07,tv (english),8,workin moms,Workin' Moms: Season 7,15110000,
2023-05-07,tv (english),9,beef,BEEF: Season 1,14790000,
2023-05-07,tv (english),10,the smurfs,The Smurfs: Season 1,9220000,
2023-05-07,tv (non-english),1,the tailor,The Tailor: Season 1,26140000,
2023-05-07,tv (non-english),2,the marked heart,The Marked Heart: Season 2,25680000,
2023-05-07,tv (non-english),3,the nurse,The Nurse: Limited Series,21580000,
2023-05-07,tv (non-english),4,welcome to eden,Welcome to Eden: Season 2,17900000,
2023-05-07,tv (non-english),5,the marked heart,The Marked Heart: Season 1,15740000,
2023-05-07,tv (non-english),6,doctor cha,Doctor Cha: Limited Series,15680000,
2023-05-07,tv (non-english),7,queenmaker,Queenmaker: Season 1,12660000,
2023-05-07,tv (non-english),8,rough diamonds,Rough Diamonds: Season 1,12060000,
2023-05-07,tv (non-english),9,the good bad mother,The Good Bad Mother: Limited Series,9170000,
2023-05-07,tv (non-english),10,sanctuary,Sanctuary: Season 1,9000000,
2023-04-30,films (english),1,a tourists guide to love,,20920000,
2023-04-30,films (english),2,whitney houston i wanna dance with somebody,,10200000,
2023-04-30,films (english),3,the last kingdom seven kings must die,,8340000,
2023-04-30,films (english),4,let him go,,7240000,
2023-04-30,films (english),5,murder mystery 2,,6150000,
2023-04-30,films (english),6,sing 2,,4500000,
2023-04-30,films (english),7,chupa,,4300000,
2023-04-30,films (english),8,dr seuss the lorax,,3830000,
2023-04-30,films (english),9,time trap,,3700000,
2023-04-30,films (english),10,paw patrol the movie,,3300000,
2023-04-30,films (non-english),1,aka,,32530000,
2023-04-30,films (non-english),2,chokehold,,10640000,
2023-04-30,films (non-english),3,hunger,,8020000,
2023-04-30,films (non-english),4,kiss kiss,,6570000,
2023-04-30,films (non-english),5,one more time,,5700000,
2023-04-30,films (non-english),6,dasara,,3860000,
2023-04-30,films (non-english),7,queens on the run,,3490000,
2023-04-30,films (non-english),8,shehzada,,3100000,
2023-04-30,films (non-english),9,kill boksoon,,2610000,
2023-04-30,films (non-english),10,phenomena,,1640000,
2023-04-30,tv (english),1,the diplomat,The Diplomat: Season 1,66460000,
2023-04-30,tv (english),2,sweet tooth,Sweet Tooth: Season 2,48340000,
2023-04-30,tv (english),3,firefly lane,Firefly Lane: Season 2,43490000,
2023-04-30,tv (english),4,the night agent,The Night Agent: Season 1,37680000,
2023-04-30,tv (english),5,beef,BEEF: Season 1,24480000,
2023-04-30,tv (english),6,sweet tooth,Sweet Tooth: Season 1,19230000,
2023-04-30,tv (english),7,workin moms,Workin' Moms: Season 7,18190000,
2023-04-30,tv (english),8,better call saul,Better Call Saul: Season 6,13960000,
2023-04-30,tv (english),9,love is blind,Love Is Blind: Season 4,12080000,
2023-04-30,tv (english),10,indian matchmaking,Indian Matchmaking: Season 3,11410000,
2023-04-30,tv (non-english),1,the marked heart,The Marked Heart: Season 2,46310000,
2023-04-30,tv (non-english),2,welcome to eden,Welcome to Eden: Season 2,37540000,
2023-04-30,tv (non-english),3,rough diamonds,Rough Diamonds: Season 1,28690000,
2023-04-30,tv (non-english),4,the nurse,The Nurse: Limited Series,28630000,
2023-04-30,tv (non-english),5,the marked heart,The Marked Heart: Season 1,28310000,
2023-04-30,tv (non-english),6,queenmaker,Queenmaker: Season 1,23770000,
2023-04-30,tv (non-english),7,welcome to eden,Welcome to Eden: Season 1,15660000,
2023-04-30,tv (non-english),8,doctor cha,Doctor Cha: Limited Series,11280000,
2023-04-30,tv (non-english),9,the glory,The Glory: Season 1,7680000,
2023-04-30,tv (non-english),10,love after music,Love After Music: Season 1,6800000,
2023-04-23,films (english),1,the last kingdom seven kings must die,,25700000,
2023-04-23,films (english),2,let him go,,14110000,
2023-04-23,films (english),3,a tourists guide to love,,13400000,
2023-04-23,films (english),4,murder mystery 2,,8390000,
2023-04-23,films (english),5,chupa,,8030000,
2023-04-23,films (english),6,the snowman,,7170000,
2023-04-23,films (english),7,whitney houston i wanna dance with somebody,,6700000,
2023-04-23,films (english),8,mighty morphin power rangers once always,,6550000,
2023-04-23,films (english),9,f9 the fast saga,,6540000,
2023-04-23,films (english),10,dr seuss the lorax,,4430000,
2023-04-23,films (non-english),1,queens on the run,,14680000,
2023-04-23,films (non-english),2,hunger,,14080000,
2023-04-23,films (non-english),3,shehzada,,9160000,
2023-04-23,films (non-english),4,phenomena,,7160000,
2023-04-23,films (non-english),5,chokehold,,5500000,
2023-04-23,films (non-english),6,one more time,,3890000,
2023-04-23,films (non-english),7,kill boksoon,,3720000,
2023-04-23,films (non-english),8,bua pun beauty and the blade,,1430000,
2023-04-23,films (non-english),9,kannai nambathe,,1400000,
2023-04-23,films (non-english),10,all quiet on the western front,,1340000,
2023-04-23,tv (english),1,the diplomat,The Diplomat: Season 1,57480000,
2023-04-23,tv (english),2,the night agent,The Night Agent: Season 1,56650000,
2023-04-23,tv (english),3,beef,BEEF: Season 1,42810000,
2023-04-23,tv (english),4,love is blind,Love Is Blind: Season 4,39480000,
2023-04-23,tv (english),5,florida man,Florida Man: Limited Series,29500000,
2023-04-23,tv (english),6,obsession,Obsession: Limited Series,27120000,
2023-04-23,tv (english),7,better call saul,Better Call Saul: Season 6,14790000,
2023-04-23,tv (english),8,how to get rich,How to Get Rich: Season 1,14580000,
2023-04-23,tv (english),9,american manhunt the boston marathon bombing,American Manhunt: The Boston Marathon Bombing: Limited Series,13190000,
2023-04-23,tv (english),10,wednesday,Wednesday: Season 1,9500000,
2023-04-23,tv (non-english),1,the marked heart,The Marked Heart: Season 2,52310000,
2023-04-23,tv (non-english),2,queenmaker,Queenmaker: Season 1,47180000,
2023-04-23,tv (non-english),3,the marked heart,The Marked Heart: Season 1,26750000,
2023-04-23,tv (non-english),4,welcome to eden,Welcome to Eden: Season 2,20620000,
2023-04-23,tv (non-english),5,rough diamonds,Rough Diamonds: Season 1,11600000,
2023-04-23,tv (non-english),6,the glory,The Glory: Season 1,9160000,
2023-04-23,tv (non-english),7,welcome to eden,Welcome to Eden: Season 1,6350000,
2023-04-23,tv (non-english),8,pablo escobar el patrón del mal,"Pablo Escobar, el patrón del mal: Season 1",6070000,
2023-04-23,tv (non-english),9,alchemy of souls,Alchemy of Souls: Part 1,5800000,
2023-04-23,tv (non-english),10,chiquititas,,5770000,
2023-04-16,films (english),1,the last kingdom seven kings must die,,35500000,
2023-04-16,films (english),2,chupa,,27290000,
2023-04-16,films (english),3,murder mystery 2,,16930000,
2023-04-16,films (english),4,trolls world tour,,9360000,
2023-04-16,films (english),5,noah,,8380000,
2023-04-16,films (english),6,the last stand,,8180000,
2023-04-16,films (english),7,home,,8070000,
2023-04-16,films (english),8,matilda,,6910000,
2023-04-16,films (english),9,murder mystery,,6690000,
2023-04-16,films (english),10,dr seuss the lorax,,5890000,
2023-04-16,films (non-english),1,hunger,,43580000,
2023-04-16,films (non-english),2,queens on the run,,11360000,
2023-04-16,films (non-english),3,kill boksoon,,8640000,
2023-04-16,films (non-english),4,shehzada,,6700000,
2023-04-16,films (non-english),5,phenomena,,4870000,
2023-04-16,films (non-english),6,oh belinda,,3210000,
2023-04-16,films (non-english),7,chor nikal ke bhaga,,1790000,
2023-04-16,films (non-english),8,la parisienne,,1760000,
2023-04-16,films (non-english),9,all quiet on the western front,,1660000,
2023-04-16,films (non-english),10,,,1590000,
2023-04-16,tv (english),1,the night agent,The Night Agent: Season 1,90040000,
2023-04-16,tv (english),2,beef,BEEF: Season 1,70380000,
2023-04-16,tv (english),3,love is blind,Love Is Blind: Season 4,41330000,
2023-04-16,tv (english),4,obsession,Obsession: Limited Series,40890000,
2023-04-16,tv (english),5,florida man,Florida Man: Limited Series,26190000,
2023-04-16,tv (english),6,american manhunt the boston marathon bombing,American Manhunt: The Boston Marathon Bombing: Limited Series,23370000,
2023-04-16,tv (english),7,transatlantic,Transatlantic: Limited Series,17390000,
2023-04-16,tv (english),8,designated survivor,Designated Survivor: Season 1,13110000,
2023-04-16,tv (english),9,shadow and bone,Shadow and Bone: Season 2,11620000,
2023-04-16,tv (english),10,wednesday,Wednesday: Season 1,10890000,
2023-04-16,tv (non-english),1,queenmaker,Queenmaker: Season 1,15870000,
2023-04-16,tv (non-english),2,thicker than water,Thicker Than Water: Season 1,14780000,
2023-04-16,tv (non-english),3,the glory,The Glory: Season 1,12900000,
2023-04-16,tv (non-english),4,divorce attorney shin,Divorce Attorney Shin: Limited Series,10390000,
2023-04-16,tv (non-english),5,copycat killer,Copycat Killer: Season 1,8220000,
2023-04-16,tv (non-english),6,crash course in romance,Crash Course in Romance: Limited Series,6600000,
2023-04-16,tv (non-english),7,who were we running from,Who Were We Running From?: Limited Series,6560000,
2023-04-16,tv (non-english),8,pablo escobar el patrón del mal,"Pablo Escobar, el patrón del mal: Season 1",6000000,
2023-04-16,tv (non-english),9,alchemy of souls,Alchemy of Souls: Part 1,5850000,
2023-04-16,tv (non-english),10,chiquititas,,5670000,
2023-04-09,films (english),1,murder mystery 2,,59840000,
2023-04-09,films (english),2,chupa,,25310000,
2023-04-09,films (english),3,murder mystery,,22250000,
2023-04-09,films (english),4,noah,,13500000,
2023-04-09,films (english),5,home,,10350000,
2023-04-09,films (english),6,the bourne legacy,,9110000,
2023-04-09,films (english),7,shark tale,,8050000,
2023-04-09,films (english),8,over the hedge,,7940000,
2023-04-09,films (english),9,luther the fallen sun,,7530000,
2023-04-09,films (english),10,matilda,,7420000,
2023-04-09,films (non-english),1,kill boksoon,,25710000,
2023-04-09,films (non-english),2,hunger,,11230000,
2023-04-09,films (non-english),3,,,5140000,
2023-04-09,films (non-english),4,chor nikal ke bhaga,,4210000,
2023-04-09,films (non-english),5,faraaz,,3500000,
2023-04-09,films (non-english),6,oh belinda,,2650000,
2023-04-09,films (non-english),7,all quiet on the western front,,2310000,
2023-04-09,films (non-english),8,johnny,,2260000,
2023-04-09,films (non-english),9,the takedown,,2100000,
2023-04-09,films (non-english),10,switch,,2070000,
2023-04-09,tv (english),1,the night agent,The Night Agent: Season 1,130480000,
2023-04-09,tv (english),2,love is blind,Love Is Blind: Season 4,43140000,
2023-04-09,tv (english),3,beef,BEEF: Season 1,34080000,
2023-04-09,tv (english),4,unseen,Unseen: Season 1,17580000,
2023-04-09,tv (english),5,the blacklist,The Blacklist: Season 9,17260000,
2023-04-09,tv (english),6,shadow and bone,Shadow and Bone: Season 2,16740000,
2023-04-09,tv (english),7,wellmania,Wellmania: Season 1,13470000,
2023-04-09,tv (english),8,transatlantic,Transatlantic: Limited Series,12390000,
2023-04-09,tv (english),9,designated survivor,Designated Survivor: Season 1,11990000,
2023-04-09,tv (english),10,you,You: Season 4,11890000,
2023-04-09,tv (non-english),1,the glory,The Glory: Season 1,18570000,
2023-04-09,tv (non-english),2,copycat killer,Copycat Killer: Season 1,17740000,
2023-04-09,tv (non-english),3,war sailor,War Sailor: Limited Series,13640000,
2023-04-09,tv (non-english),4,who were we running from,Who Were We Running From?: Limited Series,13230000,
2023-04-09,tv (non-english),5,divorce attorney shin,Divorce Attorney Shin: Limited Series,9260000,
2023-04-09,tv (non-english),6,crash course in romance,Crash Course in Romance: Limited Series,8300000,
2023-04-09,tv (non-english),7,thicker than water,Thicker Than Water: Season 1,7500000,
2023-04-09,tv (non-english),8,i am georgina,I Am Georgina: Season 2,6920000,
2023-04-09,tv (non-english),9,from me to you kimi ni todoke,From Me to You: Kimi ni Todoke: Season 1,6600000,
2023-04-09,tv (non-english),10,pablo escobar el patrón del mal,"Pablo Escobar, el patrón del mal: Season 1",6140000,
2023-04-02,films (english),1,murder mystery 2,,64420000,
2023-04-02,films (english),2,murder mystery,,24690000,
2023-04-02,films (english),3,luther the fallen sun,,12700000,
2023-04-02,films (english),4,i see you,,8280000,
2023-04-02,films (english),5,the magicians elephant,,6330000,
2023-04-02,films (english),6,minions the rise of gru,,3540000,
2023-04-02,films (english),7,hotel transylvania 2,,3260000,
2023-04-02,films (english),8,dragged across concrete,,3240000,
2023-04-02,films (english),9,trolls,,3210000,
2023-04-02,films (english),10,the bourne legacy,,3200000,
2023-04-02,films (non-english),1,kill boksoon,,19610000,
2023-04-02,films (non-english),2,chor nikal ke bhaga,,17300000,
2023-04-02,films (non-english),3,,,9660000,
2023-04-02,films (non-english),4,johnny,,6930000,
2023-04-02,films (non-english),5,furies,,3710000,
2023-04-02,films (non-english),6,all quiet on the western front,,3420000,
2023-04-02,films (non-english),7,still time,,2910000,
2023-04-02,films (non-english),8,in his shadow,,2480000,
2023-04-02,films (non-english),9,faraaz,,2410000,
2023-04-02,films (non-english),10,labyu with an accent,,2360000,
2023-04-02,tv (english),1,the night agent,The Night Agent: Season 1,216390000,
2023-04-02,tv (english),2,love is blind,Love Is Blind: Season 4,47640000,
2023-04-02,tv (english),3,shadow and bone,Shadow and Bone: Season 2,27000000,
2023-04-02,tv (english),4,unseen,Unseen: Season 1,24320000,
2023-04-02,tv (english),5,you,You: Season 4,18220000,
2023-04-02,tv (english),6,emergency nyc,Emergency: NYC: Season 1,18170000,
2023-04-02,tv (english),7,wellmania,Wellmania: Season 1,14460000,
2023-04-02,tv (english),8,wednesday,Wednesday: Season 1,12180000,
2023-04-02,tv (english),9,unstable,Unstable: Season 1,11360000,
2023-04-02,tv (english),10,outer banks,Outer Banks: Season 3,11310000,
2023-04-02,tv (non-english),1,who were we running from,Who Were We Running From?: Limited Series,35890000,
2023-04-02,tv (non-english),2,the glory,The Glory: Season 1,26720000,
2023-04-02,tv (non-english),3,i am georgina,I Am Georgina: Season 2,17250000,
2023-04-02,tv (non-english),4,crash course in romance,Crash Course in Romance: Limited Series,10970000,
2023-04-02,tv (non-english),5,sky high the series,Sky High: The Series: Season 1,8630000,
2023-04-02,tv (non-english),6,invisible city,Invisible City: Season 2,7850000,
2023-04-02,tv (non-english),7,divorce attorney shin,Divorce Attorney Shin: Limited Series,7540000,
2023-04-02,tv (non-english),8,close to home murder in the coalfield,Close to Home: Murder in the Coalfield: Season 1,7260000,
2023-04-02,tv (non-english),9,wrong side of the tracks,Wrong Side of the Tracks: Season 2,7200000,
2023-04-02,tv (non-english),10,from me to you kimi ni todoke,From Me to You: Kimi ni Todoke: Season 1,6730000,
2023-03-26,films (english),1,luther the fallen sun,,24700000,
2023-03-26,films (english),2,the magicians elephant,,16730000,
2023-03-26,films (english),3,i see you,,10830000,
2023-03-26,films (english),4,dragged across concrete,,9310000,
2023-03-26,films (english),5,money shot the pornhub story,,5000000,
2023-03-26,films (english),6,murder mystery,,4490000,
2023-03-26,films (english),7,perfume the story of a murderer,,4450000,
2023-03-26,films (english),8,riddick,,3980000,
2023-03-26,films (english),9,minions the rise of gru,,3810000,
2023-03-26,films (english),10,we have a ghost,,3540000,
2023-03-26,films (non-english),1,in his shadow,,12560000,
2023-03-26,films (non-english),2,noise,,12300000,
2023-03-26,films (non-english),3,chor nikal ke bhaga,,11700000,
2023-03-26,films (non-english),4,still time,,10230000,
2023-03-26,films (non-english),5,all quiet on the western front,,6850000,
2023-03-26,films (non-english),6,johnny,,5910000,
2023-03-26,films (non-english),7,furies,,4320000,
2023-03-26,films (non-english),8,sir hindi,,3120000,
2023-03-26,films (non-english),9,city of god,,3050000,
2023-03-26,films (non-english),10,sky high,,2880000,
2023-03-26,tv (english),1,the night agent,The Night Agent: Season 1,168710000,
2023-03-26,tv (english),2,shadow and bone,Shadow and Bone: Season 2,55030000,
2023-03-26,tv (english),3,you,You: Season 4,30230000,
2023-03-26,tv (english),4,love is blind,Love Is Blind: Season 4,25520000,
2023-03-26,tv (english),5,waco american apocalypse,Waco: American Apocalypse: Limited Series,21510000,
2023-03-26,tv (english),6,shadow and bone,Shadow and Bone: Season 1,21300000,
2023-03-26,tv (english),7,outer banks,Outer Banks: Season 3,16880000,
2023-03-26,tv (english),8,sexlife,Sex/Life: Season 2,13910000,
2023-03-26,tv (english),9,wednesday,Wednesday: Season 1,13400000,
2023-03-26,tv (english),10,mh370 the plane that disappeared,MH370: The Plane That Disappeared: Limited Series,9960000,
2023-03-26,tv (non-english),1,the glory,The Glory: Season 1,48350000,
2023-03-26,tv (non-english),2,sky high the series,Sky High: The Series: Season 1,27800000,
2023-03-26,tv (non-english),3,who were we running from,Who Were We Running From?: Limited Series,19410000,
2023-03-26,tv (non-english),4,i am georgina,I Am Georgina: Season 2,16080000,
2023-03-26,tv (non-english),5,crash course in romance,Crash Course in Romance: Limited Series,13510000,
2023-03-26,tv (non-english),6,maestro in blue,Maestro in Blue: Season 1,13260000,
2023-03-26,tv (non-english),7,wrong side of the tracks,Wrong Side of the Tracks: Season 2,11740000,
2023-03-26,tv (non-english),8,close to home murder in the coalfield,Close to Home: Murder in the Coalfield: Season 1,11540000,
2023-03-26,tv (non-english),9,invisible city,Invisible City: Season 2,11130000,
2023-03-26,tv (non-english),10,mr queen,,7620000,
2023-03-19,films (english),1,luther the fallen sun,,69540000,
2023-03-19,films (english),2,faraway,,14830000,
2023-03-19,films (english),3,the magicians elephant,,13690000,
2023-03-19,films (english),4,money shot the pornhub story,,13670000,
2023-03-19,films (english),5,dragged across concrete,,9590000,
2023-03-19,films (english),6,we have a ghost,,5960000,
2023-03-19,films (english),7,the hunger games catching fire,,5010000,
2023-03-19,films (english),8,turbo,,5000000,
2023-03-19,films (english),9,the hunger games,,4900000,
2023-03-19,films (english),10,kickass 2,,4030000,
2023-03-19,films (non-english),1,still time,,11550000,
2023-03-19,films (non-english),2,all quiet on the western front,,9530000,
2023-03-19,films (non-english),3,noise,,8750000,
2023-03-19,films (non-english),4,in his shadow,,8630000,
2023-03-19,films (non-english),5,kuttey,,3550000,
2023-03-19,films (non-english),6,have a nice day,,3000000,
2023-03-19,films (non-english),7,rrr hindi,,2670000,
2023-03-19,films (non-english),8,love at first kiss,,2440000,
2023-03-19,films (non-english),9,vaathi,,2430000,
2023-03-19,films (non-english),10,sir,,2270000,
2023-03-19,tv (english),1,you,You: Season 4,64060000,
2023-03-19,tv (english),2,shadow and bone,Shadow and Bone: Season 2,50400000,
2023-03-19,tv (english),3,mh370 the plane that disappeared,MH370: The Plane That Disappeared: Limited Series,28980000,
2023-03-19,tv (english),4,outer banks,Outer Banks: Season 3,25950000,
2023-03-19,tv (english),5,shadow and bone,Shadow and Bone: Season 1,24070000,
2023-03-19,tv (english),6,outlast,Outlast: Season 1,23630000,
2023-03-19,tv (english),7,sexlife,Sex/Life: Season 2,22280000,
2023-03-19,tv (english),8,wednesday,Wednesday: Season 1,14990000,
2023-03-19,tv (english),9,sexlife,Sex/Life: Season 1,13180000,
2023-03-19,tv (english),10,perfect match,Perfect Match: Season 1,11540000,
2023-03-19,tv (non-english),1,the glory,The Glory: Season 1,123590000,
2023-03-19,tv (non-english),2,wrong side of the tracks,Wrong Side of the Tracks: Season 2,20100000,
2023-03-19,tv (non-english),3,sky high the series,Sky High: The Series: Season 1,19180000,
2023-03-19,tv (non-english),4,rana naidu,Rana Naidu: Season 1,16410000,
2023-03-19,tv (non-english),5,crash course in romance,Crash Course in Romance: Limited Series,14360000,
2023-03-19,tv (non-english),6,wrong side of the tracks,Wrong Side of the Tracks: Season 1,10030000,
2023-03-19,tv (non-english),7,mr queen,,9770000,
2023-03-19,tv (non-english),8,in the name of god a holy betrayal,In the Name of God: A Holy Betrayal: Season 1,8100000,
2023-03-19,tv (non-english),9,triptych,Triptych: Season 1,8010000,
2023-03-19,tv (non-english),10,maestro in blue,Maestro in Blue: Season 1,7300000,
2023-03-12,films (english),1,luther the fallen sun,,65920000,
2023-03-12,films (english),2,faraway,,21810000,
2023-03-12,films (english),3,we have a ghost,,13390000,
2023-03-12,films (english),4,the hunger games,,8320000,
2023-03-12,films (english),5,turbo,,7980000,
2023-03-12,films (english),6,the hunger games catching fire,,7340000,
2023-03-12,films (english),7,paw patrol the movie,,6530000,
2023-03-12,films (english),8,this is where i leave you,,6220000,
2023-03-12,films (english),9,world war z,,5560000,
2023-03-12,films (english),10,burlesque,,5540000,
2023-03-12,films (non-english),1,love at first kiss,,10640000,
2023-03-12,films (non-english),2,10 days of a good man,,9990000,
2023-03-12,films (non-english),3,tonight youre sleeping with me,,6460000,
2023-03-12,films (non-english),4,all quiet on the western front,,4230000,
2023-03-12,films (non-english),5,black crab,,3540000,
2023-03-12,films (non-english),6,men of plastic,,2660000,
2023-03-12,films (non-english),7,unlocked,,2610000,
2023-03-12,films (non-english),8,carandiru,,1760000,
2023-03-12,films (non-english),9,ibiza,,1420000,
2023-03-12,films (non-english),10,iratta,,1350000,
2023-03-12,tv (english),1,you,You: Season 4,75810000,
2023-03-12,tv (english),2,mh370 the plane that disappeared,MH370: The Plane That Disappeared: Limited Series,59880000,
2023-03-12,tv (english),3,sexlife,Sex/Life: Season 2,46720000,
2023-03-12,tv (english),4,outer banks,Outer Banks: Season 3,44580000,
2023-03-12,tv (english),5,sexlife,Sex/Life: Season 1,25930000,
2023-03-12,tv (english),6,next in fashion,Next in Fashion: Season 2,24430000,
2023-03-12,tv (english),7,perfect match,Perfect Match: Season 1,18900000,
2023-03-12,tv (english),8,chris rock selective outrage,,17790000,
2023-03-12,tv (english),9,outer banks,Outer Banks: Season 2,16360000,
2023-03-12,tv (english),10,outer banks,Outer Banks: Season 1,16140000,
2023-03-12,tv (non-english),1,the glory,The Glory: Season 1,124460000,
2023-03-12,tv (non-english),2,wrong side of the tracks,Wrong Side of the Tracks: Season 2,39080000,
2023-03-12,tv (non-english),3,wrong side of the tracks,Wrong Side of the Tracks: Season 1,23830000,
2023-03-12,tv (non-english),4,crash course in romance,Crash Course in Romance: Limited Series,22350000,
2023-03-12,tv (non-english),5,in the name of god a holy betrayal,In the Name of God: A Holy Betrayal: Season 1,16430000,
2023-03-12,tv (non-english),6,triptych,Triptych: Season 1,14780000,
2023-03-12,tv (non-english),7,mr queen,,13670000,
2023-03-12,tv (non-english),8,too hot to handle germany,Too Hot to Handle: Germany: Season 1,9970000,
2023-03-12,tv (non-english),9,la reina del sur,La Reina del Sur: Season 3,8230000,
2023-03-12,tv (non-english),10,rana naidu,Rana Naidu: Season 1,8070000,
2023-03-05,films (english),1,we have a ghost,,42620000,
2023-03-05,films (english),2,the strays,,14570000,
2023-03-05,films (english),3,the condemned,,10230000,
2023-03-05,films (english),4,ripd,,8330000,
2023-03-05,films (english),5,bad boys for life,,8330000,
2023-03-05,films (english),6,your place or mine,,7500000,
2023-03-05,films (english),7,this is where i leave you,,6580000,
2023-03-05,films (english),8,the hunger games,,6230000,
2023-03-05,films (english),9,the hangover part iii,,5800000,
2023-03-05,films (english),10,paw patrol the movie,,5620000,
2023-03-05,films (non-english),1,tonight youre sleeping with me,,12170000,
2023-03-05,films (non-english),2,love at first kiss,,10930000,
2023-03-05,films (non-english),3,call me chihiro,,6110000,
2023-03-05,films (non-english),4,unlocked,,5460000,
2023-03-05,films (non-english),5,waltair veerayya,,5380000,
2023-03-05,films (non-english),6,10 days of a good man,,4840000,
2023-03-05,films (non-english),7,all quiet on the western front,,4200000,
2023-03-05,films (non-english),8,black crab,,3170000,
2023-03-05,films (non-english),9,carandiru,,1390000,
2023-03-05,films (non-english),10,viking wolf,,1380000,
2023-03-05,tv (english),1,outer banks,Outer Banks: Season 3,99000000,
2023-03-05,tv (english),2,sexlife,Sex/Life: Season 2,43890000,
2023-03-05,tv (english),3,perfect match,Perfect Match: Season 1,42660000,
2023-03-05,tv (english),4,outer banks,Outer Banks: Season 1,34050000,
2023-03-05,tv (english),5,murdaugh murders a southern scandal,Murdaugh Murders: A Southern Scandal: Season 1,33360000,
2023-03-05,tv (english),6,outer banks,Outer Banks: Season 2,27750000,
2023-03-05,tv (english),7,formula 1 drive to survive,Formula 1: Drive to Survive: Season 5,26230000,
2023-03-05,tv (english),8,sexlife,Sex/Life: Season 1,19630000,
2023-03-05,tv (english),9,wednesday,Wednesday: Season 1,16410000,
2023-03-05,tv (english),10,next in fashion,Next in Fashion: Season 2,16160000,
2023-03-05,tv (non-english),1,triptych,Triptych: Season 1,39650000,
2023-03-05,tv (non-english),2,wrong side of the tracks,Wrong Side of the Tracks: Season 2,34630000,
2023-03-05,tv (non-english),3,crash course in romance,Crash Course in Romance: Limited Series,25970000,
2023-03-05,tv (non-english),4,wrong side of the tracks,Wrong Side of the Tracks: Season 1,21980000,
2023-03-05,tv (non-english),5,mr queen,,20470000,
2023-03-05,tv (non-english),6,physical 100,Physical: 100: Season 1,14370000,
2023-03-05,tv (non-english),7,too hot to handle germany,Too Hot to Handle: Germany: Season 1,14270000,
2023-03-05,tv (non-english),8,la reina del sur,La Reina del Sur: Season 3,9750000,
2023-03-05,tv (non-english),9,monique olivier accessory to evil,Monique Olivier: Accessory to Evil: Limited Series,8720000,
2023-03-05,tv (non-english),10,the law according to lidia poët,The Law According to Lidia Poët: Season 1,8540000,
2023-02-26,films (english),1,we have a ghost,,40470000,
2023-02-26,films (english),2,the strays,,28780000,
2023-02-26,films (english),3,your place or mine,,22290000,
2023-02-26,films (english),4,army of one,,15600000,
2023-02-26,films (english),5,the woman king,,10230000,
2023-02-26,films (english),6,2 guns,,8550000,
2023-02-26,films (english),7,jurassic world,,7430000,
2023-02-26,films (english),8,mission impossible fallout,,6360000,
2023-02-26,films (english),9,minions the rise of gru,,6270000,
2023-02-26,films (english),10,bad boys for life,,6070000,
2023-02-26,films (non-english),1,unlocked,,16150000,
2023-02-26,films (non-english),2,all quiet on the western front,,5470000,
2023-02-26,films (non-english),3,call me chihiro,,5340000,
2023-02-26,films (non-english),4,cirkus,,3800000,
2023-02-26,films (non-english),5,squared love all over again,,3750000,
2023-02-26,films (non-english),6,all the places,,3610000,
2023-02-26,films (non-english),7,remember,,2810000,
2023-02-26,films (non-english),8,elite squad,,2360000,
2023-02-26,films (non-english),9,an inconvenient love,,1960000,
2023-02-26,films (non-english),10,the last mercenary,,1850000,
2023-02-26,tv (english),1,outer banks,Outer Banks: Season 3,154970000,
2023-02-26,tv (english),2,murdaugh murders a southern scandal,Murdaugh Murders: A Southern Scandal: Season 1,40050000,
2023-02-26,tv (english),3,perfect match,Perfect Match: Season 1,39510000,
2023-02-26,tv (english),4,outer banks,Outer Banks: Season 1,35100000,
2023-02-26,tv (english),5,you,You: Season 4,27750000,
2023-02-26,tv (english),6,formula 1 drive to survive,Formula 1: Drive to Survive: Season 5,25760000,
